id_post,user,Description,Likes
BzNG6FWiiga,rusee_comme_un_renard,outdoor and nature,298
BzDKPRbFMzb,im.thanhbinh,"one or more people, ocean, beach, child, outdoor and water",18
Bxp8YaoDgZa,keremsavukduran,"1 person, stadium, crowd and outdoor",462
BxSUDmahNoU,brypaneda,"1 person, standing",109
BzdTyoSnrEu,blogdobreno,one or more people and baby,12
BzdTeBCnV-P,m_x_0001,one or more people,46
BzdTyf7H2_u,rezende_multimarcas_,phone and screen,5
BzdTyNSIBIr,framboossje,one or more people and outdoor,35
BzdTyCfn9zS,thegrandnewdelhi,"one or more people, drink, outdoor and water",13
BzdTxupHH0K,ritakhushilabel,"one or more people, people standing and outdoor",62
BzdTxsSHyKs,rajanprabhakar,text,29
BzdTwVPDSre,blerdking2,food,4
BzdTt_rC8GL,airkeff,"one or more people, sunglasses and outdoor",16
BzdTo4sJtHo,turystando,"plant, sky, tree, grass, outdoor and nature",15
BzdThuuHeYG,letsgetactive_kendall,text,9
BzdSbfrFBod,njy.0_0,one or more people,49
BzdOCzflRji,ye_liming_,one or more people,139
BzdJtrkiACy,heyitsxabi,one or more people and people standing,292
Bzc-uvxnhXg,jiy0m,"one or more people, ocean, sky, outdoor and water",102
BzcxOoRBBlR,songwoo_1996,indoor,75
BzcQAvZiVL4,dscvr.nes,one or more people,309
BzWRZjhp3rv,liga_fit,"one or more people, people standing, sky, cloud, ocean, outdoor, nature and water",175
BzVCESPnF6m,traveling.boy.jp,"plant, flower and outdoor",353
BzQmS9JA_Nr,s_xyeon,one or more people,251
BzJHaW4Aefi,anas_barber1999,one or more people,19
ByWTBhygdQN,luv_m_s_elf,one or more people and stripes,69
Bw2AkOsBdJG,maramare0076,"1 person, sitting and indoor",63
BngezbunVHL,pregnancyclock,one or more people and indoor,212
BzdTx5dBsV2,boyofbesiktas,one or more people and text,112
BzdTxXtoqd9,architectinthekitchen,"tree, sky, table, shoes, outdoor and nature",7
BzdTv5-HTd_,mai_taisuke_625,"one or more people, selfie and closeup",85
BzdTp4EiceV,rosezaraaa,one or more people and closeup,4
BzdCOL8FlZQ,siwar_abaied,one or more people,58
BzatdcclJ5T,pyeon_he_sun,one or more people and indoor,42
BzZ0IWhFajX,0202_0min,indoor,55
BzXsp8sJtzP,nrlaylia,"one or more people, eyeglasses and closeup",146
BzWmvbSiW9N,miina.muminovic,one or more people and outdoor,42
BzdTxyxlwAk,pajareandoporcolombia,bird,70
BzdTxwjFP9B,cundaa_ayvalik,"ocean, sky, outdoor and water",707
BzdTUH6D6Qe,jbdrewhouse,"one or more people, hat and closeup",16
BzbtuVWoO0T,joanna_tur,one or more people and closeup,92
BzasLASFVDc,148cm_723,one or more people and closeup,21
BzajuhjF46w,ajinkyartatke,"cloud, sky, mountain, outdoor and nature",129
BzZpLPaiPgE,cedrineruppy,"one or more people, people standing, people walking, shoes and outdoor",305
Bxoz8sshZu-,brypaneda,"1 person, standing, sky, mountain, outdoor and nature",104
BzdQ6cQhSJD,biggbear__,text,8
BzdCMW7HKx0,lv.095,one or more people,262
By-P7aXlqQf,im.thanhbinh,"one or more people, people standing, ocean, beach, sky, child, outdoor, water and nature",22
Bu8G8rkAMEr,lagonoblue,one or more people,1768
BzdTxQTHFKE,blitz.diamond,text,21
BzdTxJHgeeI,__erinarie,food,17
BzdTwxjj6-B,mayziebrady,dog,23
BzdTvL5BUi2,intermittent.traveller,"sky, cloud and outdoor",40
BzdTqsfnYNC,fashiox_ro1,one or more people and people standing,10
BzdNM8ojxaM,hilal_ekbic,"one or more people, sunglasses and closeup",110
BzdKBUfFq9o,min_ye_na,"one or more people, people standing, sky and outdoor",46
BzdH68mngtq,rpconover,"one or more people, beard and outdoor",100
Bzc-r0fp5Ha,1002_o.o,"sky, cloud, twilight and outdoor",20
Bzc-H1XHSjF,y.k.s.925,food and indoor,5
Bzc6tqmggTU,_seohee_0214_,"one or more people, closeup and outdoor",594
BzcwaX7oyNa,visitvalvestino,"mountain, sky, tree, plant, outdoor, nature and water",98
BzXBdcVgTyQ,anitagaledia,"ocean, plant, outdoor, nature and water",878
BzOSt37AKiR,iamthetwinkle,"one or more people, sky, outdoor and food",253
BzFhG2fFfAR,_minjeong_1230_,drink,865
ByPldw3F2ET,xux.zoe,one or more people and closeup,350
Bx9l_HlhyEQ,brypaneda,"one or more people, people standing, ocean, sky, outdoor, nature and water",76
Bx269AmlG_k,namra_amjad67,one or more people,18
BuQ7e5lg7DK,mariposamrsdown,"outdoor, nature and water",114
BzdNbFjB5F1,ch_ri_n,"one or more people, selfie and closeup",48
BzdKdF6l3Bt,crystal_doeun,"one or more people, sky, outdoor, water and nature",959
BzdTwQ5Djbz,scaleton_,car,77
BzdTv1-BI3E,mayukh_roy_91,"cloud, sky, outdoor and nature",13
BzdTvmNBfg2,maymay__world,one or more people and text,46
BzdTtlegdDg,spring_gd98,one or more people and closeup,12
BzdTrccpYRi,sangho_020628,one or more people,34
BzdTpySpjtY,uandm.e,"plant, tree, outdoor and nature",32
BzdTa89B5Tc,holybittv,one or more people,14
BzdRI9xD8W1,flaredshot,indoor,12
BzdKFzTHtRZ,yumi_k_,one or more people and phone,121
BzdG_QTB7tE,majesticintrovert,text,42
Bzc9383nbmj,ortensia231,outdoor,136
Bzc9DW-gT5d,natsuki_521,one or more people,159
BzaqX0Cl5ft,0202_0min,"one or more people, closeup and indoor",44
BzaiGxMF8De,alexhuanwang,"one or more people, ocean, sky, outdoor, nature and water",66
BzaY7ighQVj,i_m_fe,"one or more people, people standing and phone",675
BzVCHbVnpDA,traveling.boy.jp,"plant, flower, nature and outdoor",348
BzQbruzJo_Y,its_takaworld97,"one or more people, people standing, ocean, sky, child, outdoor, nature and water",232
Bs3GBu_AgFm,nadiaproaoficial,1 person,80
Bnmo9ZFnZ_h,pregnancyclock,ultrasound,223
BzdTv1yhm_K,realtorbrandee_handled,text and outdoor,9
BzdTveGAINT,marrentin7,one or more people,6
BzdTvbiAVoL,sarii_555,drink,17
BzdTvHhISCL,alessiobarontini,"one or more people, sunglasses and closeup",7
BzdTu4IH8W_,luv_wiht__u,one or more people and closeup,14
BzdTtoABLVT,franklite_ltd,indoor,5
BzdTswrJF96,sleep.spirit,flower,26
BzdTqb7JW_1,kt.photographerr,"sky, tree, plant and outdoor",28
BzdTpIUottq,alessiafurby,"one or more people, dog and outdoor",44
BzdTn8Vjvty,sayar_ka_shayrana,text,14
BzdTdFmICG0,nailssbyalice,one or more people and closeup,203
BzdM-WGh5rR,ch_ri_n,people standing and indoor,41
BzdIzSbhQt7,oka__yc,one or more people and indoor,44
Bzc-oABHPVJ,in_order_official,one or more people,7
Bzc3Csxonmx,daniele.micheletti,one or more people,41
BzbITNYIL9X,vincenzo_terranova_,one or more people,141
Bza5ymhnNam,lindsadorbz,"one or more people, people standing, phone and indoor",59
BzaDIDTg06E,puneet.p.s,car,67
BzXZf44FClP,_minjeong_1230_,"one or more people, selfie and closeup",532
BzS4Cpjpg2d,its_takaworld97,"one or more people, people standing, sky, ocean, twilight, outdoor, water and nature",160
BzSWuOziUzy,_nastifantasti_,"one or more people, ring and closeup",311
BzSR3OapNhz,_16.x.41_,one or more people and indoor,94
BzRK9mHha6c,juliamccray,"people standing, tree, shoes, sky, mountain, outdoor and nature",87
By_JEfGB9PO,guianinarmz,"plant, flower and nature",121
BxzgklpIHdb,olga_u,indoor,122
BvE02T7gOXI,lagonoblue,"one or more people, people standing and shoes",1559
BzdTvJ7HJuB,jem.riel,"one or more people, people standing, sky, tree, mountain, shoes, cloud, outdoor and nature",189
BzdTupKDKj7,aas_network,"one or more people, meme and text",35
BzdTun3nT5E,nachicats,text,15
BzdTuiWoaVz,loredana_cozzo,one or more people and closeup,23
BzdTugAnqYc,aliviaputrii_,one or more people and people sitting,57
BzdTuMtj5vs,milesculinary,food,20
BzdTt1pB_oH,_snehajainxx,one or more people and closeup,52
BzdTt1llypf,subhashmali.jnvu,one or more people and people sitting,41
BzdTtqhnzOS,mimon_hossen,"one or more people, people standing and outdoor",12
BzdTtdeBVag,depaartist,one or more people and closeup,351
BzdTsy2nF81,skinny_kitchen_confidential,food,28
BzdTsamBWqU,clickstation_studio,one or more people,86
BzdTsL6JVQ8,_g_vely_9,"one or more people, people sleeping and baby",26
BzdTr2XBPnC,seok_beni,"one or more people, closeup and outdoor",30
BzdTrAIodxj,ohorodnyk_i,one or more people and closeup,20
BzdToh4DPl5,jeddalovescoal,outdoor,27
BzdC0dBlKjx,__0__3__0__7,drink and outdoor,88
Bzc85uDBgjn,i_m_fe,"one or more people, sky, outdoor, water and nature",362
Bzcv65vIN_U,_me_brunette__,"one or more people, people standing and outdoor",129
BzcSSeJhBav,ryung_e_2,one or more people and indoor,80
BzbKAM8gcqF,iamthetwinkle,"sky, plant, outdoor and nature",291
Bza1O1WIO-7,oleg.grin,one or more people and indoor,80
BzYXHOgFs8A,xtylish_shad07,"one or more people, people standing, shoes and outdoor",47
BzVJxAeprta,its_takaworld97,"one or more people, people standing, ocean, sky, outdoor, nature and water",157
Bynr-ZXlWUj,fatmagrapy,"night, tree and outdoor",1944
BycXAKXAdtd,katu7176,"one or more people, closeup and indoor",204
BvAq4cPhluo,danisayssew,text,15
BzdTuJGh4sJ,leoramalloph,"one or more people, indoor and closeup",42
BzdTuEvjO9W,aas_network_2,"one or more people, meme and text",18
BzdTt3Jnex4,___shiotansuki,food,1
BzdTtuspy3U,artifacttattoo,one or more people and closeup,22
BzdTreeJVKu,phenixsalonaz,indoor,9
BzdTm22De0c,laurenweds,"plant, flower, grass, nature and outdoor",5
BzdTl47HMZN,massat1983,"sky, cloud, outdoor, water and nature",14
BzdTihLn92V,useametista,people standing,21
BzdTS8sJXJC,lastrangebitch,one or more people,8
Bzcv6wIIEt2,bednarekk_,"one or more people, selfie and closeup",94
Bza2_o6jqER,auvro_shahriar,"tree, plant, outdoor and nature",13
Bzar2_DA9Kv,xsoo._.y,"one or more people, selfie and closeup",67
BzYL4YHilOb,nafisajamelia,"people sitting, table and outdoor",65
BzUHSWonsG2,kachow_x,drawing,399
BzBZcK7D9a6,rafiellab,one or more people,168
Bw1Z13kAmOZ,usmanalieva.a.a.a,"1 person, tree, grass, outdoor and nature",47
BwoW6cLlxC7,swardanaqvi,"1 person, outdoor",379
BzdNyzUleAG,monn._.chi7,"one or more people, people sitting and shoes",354
BzdTto8heT9,jyw___9703,food,31
BzdTsfwHgnO,tiwari_telvls,"one or more people, selfie and closeup",20
BzdTsO5hmy4,vely__vely__sxxkxx__,"ocean, sky, cloud, beach, outdoor, nature and water",27
BzdTpnClBQR,chococake_82,"one or more people, people standing and child",51
BzdTkJ8hZId,a__r__eum,"cloud, sky and outdoor",25
BzdTayyHHTd,minitink_,"sky, horse, outdoor and nature",20
BzdSAkYjojj,corey_j_lewis,one or more people and people standing,28
BzdOf-XJbvC,rantanstore,one or more people,2
BzdE7Q7DIJY,vj_brand_edits_official,"one or more people, sunglasses and text",12
BzdCQWWHNke,mi___yuta,one or more people and closeup,100
Bzc35i8hhnb,pxumi,"one or more people, child and closeup",48
BzcPNvAhHXb,ryung_e_2,"one or more people, tree and outdoor",91
BzVr9T8lZBI,ronpielago,one or more people and people standing,26
BzLq3LVFuOI,sevimayaz_,one or more people and outdoor,177
ByuQfeGgCib,katu7176,one or more people and closeup,209
Bs3F-T9AZD3,nadiaproaoficial,"1 person, standing",118
BzdTtSAhW_X,jin_dallae_,"one or more people, closeup and outdoor",31
BzdTrtRlJ3y,y_ou_jin_,"one or more people, indoor and closeup",30
BzdTrZ_hGgk,kas.dance.customs,"one or more people, sky, ocean, child, outdoor and nature",58
BzdTqInBgw0,dillstagg,"one or more people, cloud, sky, ocean, outdoor and water",11
BzdTp2FDRO_,effy.photography,"one or more people, people sitting and indoor",12
BzdTp5sBjk9,dudacabralmakeupp,"one or more people, selfie and closeup",27
BzdTpbMB_Cl,meuape394,indoor,8
BzdTn93n9By,suskun1birey,text,112
BzdTnLclWY3,juniormeaurio,one or more people and text,22
BzdTmkahbI_,nailsbypamelahidalgo,one or more people and closeup,12
BzdTlsdlwDE,the_queenin_way_,"one or more people, selfie and closeup",8
BzdTUyKn3L8,communalgroup,one or more people and people sitting,13
BzdTQbghetK,iamfelicialm,text that says 'I'M HELPING 15 PEOPLE RESTORE THEIR CREDIT THIS WEEK! @IamFeliciaLM liciaLM',9
BzdTHaUhLld,skik1217,one or more people and closeup,17
BzdMFNXltKI,nathcampoyamores,"one or more people, people standing, outdoor and nature",105
BzdFhhJF5iy,___belle_mer,"one or more people, ocean, sky, outdoor, water and nature",232
BzdEBi6oMNF,zlatkokrstevskii,"one or more people, cloud, sky and outdoor",124
BzdA6R6BfzY,jinya109,"one or more people, shoes, child and outdoor",218
Bzc--5_JIEn,k0611p,"one or more people, people standing, tree and outdoor",216
BzcnhbXIiXC,vincenzo_terranova_,one or more people and outdoor,159
BzaLAtjJnO6,its_takaworld97,"one or more people, people standing, cloud, sky, ocean, shorts, mountain, outdoor and nature",137
BzP-McrIkvl,f.cazalla,"tree, plant, sky, outdoor and nature",71
Bx4gBQKDeqZ,_into_infinity_,one or more people,398
BvzaVQ_g8GV,anarrajabali,tree and outdoor,22
BofpcLJHyK6,pregnancyclock,one or more people,198
BzdTnxqhgqU,dhaffa.balanipa,one or more people and people standing,15
BzSxJxiBIEs,xinxi___,one or more people and closeup,499
BzdTr0GlJlS,big_ambitiooooon,"ocean, sky, outdoor, nature and water",28
BzdTryyFCY1,dank_lab,text that says 'When your mom sends you to your room and the wind causes the door to slam hard @dank_lab YOU WILL DIE IN 0:05',35
BzdTrxbjhD-,nino_santander,one or more people and text,11
BzdTrkkBfnq,mera_ishq_hai_tu1,"outdoor, text that says 'Mujhe un aankho me kavi aansu achhe nahi lagte jin aankho me main akshar khud ke liye pyar dekhta hu mera_ishq_hai_tu'",18
BzdTrTqFuby,chasingoz,outdoor,74
BzdTrF-HIzc,22nd_psycho,"one or more people, people standing and hat",274
BzdTplOHPkG,ntm__0607,one or more people,204
BzdTov6n0qm,love_uu0825,"cloud, sky, mountain, outdoor and nature",17
BzdTohbHynO,canvasflaire,"one or more people, text that says 'Who wants a back facial? We've got you covered. Canvas Flaire'",4
BzdTfsUBM65,alohaolive,dog,119
BzdTaViHnYk,sevvaleroll,"one or more people, people standing, sky, shoes and outdoor",56
BzdTZf7BqmX,saglikli.zayiflamaak,one or more people and closeup,8
BzdPvygHNvG,faisal_alyaseer,"one or more people, sky, selfie, outdoor and closeup",50
BzbP3-JHvlU,hashtagdea,one or more people,175
BzQx2obFl6E,sevimayaz_,"people smiling, one or more people and closeup",157
BzQBc55gdVP,katu7176,"one or more people, selfie and closeup",205
By2DM3kBrTD,guianinarmz,"dog, outdoor, water and nature",120
BxGn-veleW0,kachow_x,1 person,866
BwxU3bxAxsG,iamamy90,"1 person, shoes and outdoor",280
BvOTH4qhCly,lagonoblue,one or more people and people standing,676
BzdTqvaHgMC,investbinarytrade,text,4
BzdTqwAnU5s,sarah_alex_smith,"text that says 'ALWAYS DO YOUR BEST. WHAT YOU PLANT NOW, YOU WILL HARVEST LATER. OGMANDINO R'",25
BzdTqWzBYB4,entrepreneur_jas,text,10
BzdTqPKH2UL,mr_shetty__x,one or more people and sunglasses,30
BzdTp7Zjrwz,ray294568,one or more people and text,12
BzdTp1RjOUc,xmejoratuvida_100,one or more people and text,5
BzdTphsjNt6,monroeimagery,"one or more people, wedding and indoor",5
BzdToVPHivE,tiagopina26,"one or more people, people standing and sunglasses",18
BzdTWd6hoyh,look_makeup_studio,one or more people and people standing,8
BzdR8soIcuh,onelord.c,"one or more people, horse, sky and outdoor",527
BzdRErdF5ie,msaitow,"one or more people, people sitting and shoes",12
BzdIngcnhjG,ll.l.6,one or more people,152
BzdHAhOiqfu,kekko_fusco03,"one or more people, sunglasses, outdoor, water and closeup",97
BzdFiRQJMzb,n___424hr,one or more people and people standing,183
Bzc_-Q_pcaV,its_takaworld97,"people standing, sky, cloud and outdoor",81
Bzcakidi3Eu,natty.lopez,"ocean, sky, outdoor, nature and water",21
BzQz5LQBdqo,p.a.tri.cia,one or more people and people standing,89
Byz09rblt_k,gaeul_8,one or more people and indoor,306
ByvO2EaBJix,mirayucel,"one or more people, people standing and outdoor",316
Bw8fglrgLm4,almutawa_11,text,61
BjZp5CRjh7J,hairul_nurung,22 people,359
BzdTph8BbgK,bhavesh_jain20,"one or more people, people standing and beard",48
BzdLNeqD5M8,nikunj_kk798,one or more people and text,201
Bzbn3_2AYQB,katariinnv.makeup,one or more people and closeup,38
BzVrKrigjme,s_xyeon,plant and flower,114
BzRMXoKl0K8,sevimayaz_,one or more people and indoor,194
ByzJpPlogNW,robertasorbino,"one or more people, mountain, sky, outdoor, nature and water",44
Bs3F7xMA6Kn,nadiaproaoficial,1 person,96
BzdTmGdhAse,jesscasummers,"one or more people, people standing and indoor",10
BzdThj0Bt31,samsumit_photography,one or more people and people standing,15
BzdTfjglAUV,ninopanino_cat,outdoor,13
BzdMAAfFOPf,jj_____stagram,food and indoor,101
Bzc3h8ugvg4,lizzie_rowell_,food,100
Bzc2N-7Iy2t,aleksandra_motyka,"one or more people, phone, bedroom and indoor",110
BzYK44WngXb,kiho0404,one or more people,215
BzUJf7WAt6z,katu7176,one or more people and hat,205
Bywu1VoB09t,guianinarmz,"tree, plant, outdoor, nature and water",127
Bu9E-qghdMo,monika_witkowska.g,food,238
BzdTpjfB6dN,chefadamschmidt,food,7
BzdTpaKoCnx,liaatach,"sky, outdoor and nature",32
BzdTpcLBYtJ,aj_never_give_up,one or more people and indoor,25
BzdTo7SnKHc,meldatas21,outdoor,17
BzdTo0RBzXe,denczdavid,"ocean, outdoor, text, water and nature",164
BzdTohbH0bJ,maheshwarceo,one or more people and text,12
BzdTj1uI2wQ,milenadelorme,one or more people,285
BzdTde-IBGJ,thenormalaura,food,5
BzdTaS1nEdb,family5vlogs_fanpage,one or more people and people sitting,8
BzdN9-xBt7E,soba_in,"one or more people, shoes and outdoor",45
Bzc1I3yAj9r,ruu___61,"one or more people, selfie and closeup",94
BzcnDLqg5RC,hashim0t0_8444,shoes,132
BzboTwNgWT5,katariinnv.makeup,one or more people and closeup,42
BzbnsPmADV8,katariinnv.makeup,one or more people and closeup,32
BzagliSnAuD,attitude_killer_rahul,"one or more people, sky and outdoor",67
BzabtQZCCbf,ilariadf_idf,"one or more people, shoes and outdoor",115
BzWFKx4IBAr,far.northh,"tree, sky, basketball court and outdoor",113
BzWEsgSlql1,sevimayaz_,one or more people and closeup,157
BzDj4NtpJC5,sill07,"one or more people, sky, shoes and outdoor",41
Byxa1kbl00p,gaeul_8,"one or more people, selfie and closeup",333
BysgvVxHOon,fatmagrapy,"sky, ocean, twilight, outdoor and water",2653
Bx0BU36IMfv,olga_u,sky and outdoor,113
Bvc2xRPBcmD,danisayssew,1 person,13
Bs3F4iigdFO,nadiaproaoficial,"1 person, standing",186
BjZnUU4DAYY,hairul_nurung,"7 people, people standing",299
BzdToyRDgc7,untitled_co_,"sky, plant, tree and outdoor",37
BzdToXiHnwX,hakangursudr,drawing,433
BzdToUDBJlS,boladesabaoloja,text,11
BzdTngenkZV,brandstore,one or more people and people standing,44
BzdTnItBxpg,jm.b.a._photography,"plant, outdoor, water and nature",10
BzdTnACnAZJ,butikuarsenal,one or more people and people standing,455
BzdTgeJBM-e,k_kurly,"one or more people, people standing, tree, shorts, outdoor and nature",31
BzdTgDBI6sR,sweetandheartybakery,food,12
BzdTc01JTUq,woman9906,text,7
BzdTLyHnf48,hilal_the_coach,text,10
BzdS64CoZnF,miryhealthy,food,167
BzdS1UjnOjV,hotelelviejomolinocoroico,plant and outdoor,9
BzdOMi9lB2r,toy_______s,one or more people and people standing,175
BzcoyBlldUf,ddo.se__,"one or more people, selfie and closeup",208
Bzck0xIl1hA,thirstytion,"people sitting, table and indoor",456
BzcXX-qlXbE,jungh_0301,"one or more people, selfie and closeup",114
Bzb1JusgEt5,katariinnv.makeup,one or more people and closeup,40
Bzbp0kWgg9R,bo_mi0531,"one or more people, people standing, shorts and indoor",117
BzbB_mjAB_a,bewildlivefree,bicycle and outdoor,383
BzayJtuCfU4,marchi.simo,"sky, ocean, plant, outdoor, nature and water",96
BzaMVQBHOOH,yoshinobu.0429,one or more people and closeup,115
BzLN1Qpl1gM,_sumire_513,one or more people,401
Bw9E6tRgm7O,usmanalieva.a.a.a,"1 person, closeup",40
Bvg4VqppNQ3,lagonoblue,"one or more people, people standing and shoes",1420
BzdTco6lvnq,deadlinedetroit,outdoor,12
BzdBCcvnvly,katiefanok,one or more people and text,6
BzdTnBQhbX_,vipclub_barbershop,one or more people,18
BzdTmkKHIpV,vita_corgi,dog and indoor,13
BzdTmg2BKeb,kritika_ranjan4748,"one or more people, closeup and indoor",193
BzdTmQJBKZp,h___y_69,one or more people,6
BzdTmJWIEQe,di_t97,"one or more people, phone and selfie",84
BzdTk_SnaMt,jaymuthaeffindee,text,23
BzdTjf5nXii,brianslawsonphotography,night,23
BzdTjM-I5vt,dreamermuse,text,11
BzdTYN6hCPb,naveennairr,"one or more people, tree and outdoor",147
BzdTQUiF6IC,j_h__bin,"one or more people, selfie and closeup",72
BzdPVKnoRSq,black_monster_z650,motorcycle and outdoor,18
BzdAk0bFdUd,seo_sm3693,food,47
Bzc5_rigKEJ,katariinnv.makeup,one or more people and closeup,41
BzckLzmF2yD,aysegldemirel,"people standing, flower, nature and outdoor",260
BzcZALaCXxR,natty.lopez,"night, bridge, outdoor and water",21
BzbNYQ9hsQa,deepanshu_karan,"one or more people, closeup and indoor",70
BzSb0iEB-jU,p.a.tri.cia,"one or more people, people standing, ocean, sky, bridge, outdoor and water",61
BzJPHbwFCMV,gnoiser_music,text,26
